rent_time,rent_station,return_time,return_station,rent,infodate
2023/2/11 12:00,捷運民權西路站(3號出口),2023/2/11 13:00,捷運民權西路站(3號出口),01:02:23,2023/2/11
2023/2/11 22:00,景美醫院,2023/2/11 23:00,新生和平路口東北側,00:37:03,2023/2/11
2023/2/11 03:00,基隆忠孝路口西南側,2023/2/11 03:00,中全公園,00:08:42,2023/2/11
2023/2/11 11:00,基隆忠孝路口西南側,2023/2/11 11:00,基隆忠孝路口西南側,00:15:54,2023/2/11
2023/2/11 11:00,基隆忠孝路口西南側,2023/2/11 11:00,復興市民路口,00:15:08,2023/2/11
2023/2/11 11:00,基隆忠孝路口西南側,2023/2/11 13:00,基隆忠孝路口西南側,02:06:44,2023/2/11
2023/2/11 14:00,基隆忠孝路口西南側,2023/2/11 14:00,捷運忠孝新生站(4號出口),00:19:12,2023/2/11
2023/2/11 14:00,基隆忠孝路口西南側,2023/2/11 15:00,華山文創園區,00:31:04,2023/2/11
2023/2/11 15:00,基隆忠孝路口西南側,2023/2/11 15:00,松仁路95巷口,00:12:22,2023/2/11
2023/2/11 15:00,基隆忠孝路口西南側,2023/2/11 16:00,南京伊通街口,00:23:47,2023/2/11
2023/2/11 16:00,基隆忠孝路口西南側,2023/2/11 16:00,捷運台北101/世貿站(5號出口),00:22:04,2023/2/11
2023/2/11 16:00,基隆忠孝路口西南側,2023/2/11 16:00,市民延吉街口,00:13:09,2023/2/11
2023/2/11 16:00,基隆忠孝路口西南側,2023/2/11 17:00,仁愛安和路口,00:25:01,2023/2/11
2023/2/11 17:00,基隆忠孝路口西南側,2023/2/11 17:00,吳興街260巷,00:14:01,2023/2/11
2023/2/11 17:00,基隆忠孝路口西南側,2023/2/11 17:00,法治公園,00:14:56,2023/2/11
2023/2/11 17:00,基隆忠孝路口西南側,2023/2/11 18:00,捷運松山站(4號出口),00:25:30,2023/2/11
2023/2/11 18:00,基隆忠孝路口西南側,2023/2/11 18:00,捷運永春站(2號出口),00:10:25,2023/2/11
2023/2/11 19:00,基隆忠孝路口西南側,2023/2/11 19:00,富台公園,00:13:56,2023/2/11
2023/2/11 19:00,基隆忠孝路口西南側,2023/2/11 19:00,富台公園,00:13:44,2023/2/11
2023/2/11 21:00,基隆忠孝路口西南側,2023/2/11 22:00,捷運臺北車站(M2出口),00:40:25,2023/2/11
2023/2/11 22:00,基隆忠孝路口西南側,2023/2/11 23:00,東新街63巷口,00:35:13,2023/2/11
2023/2/11 23:00,基隆忠孝路口西南側,2023/2/11 23:00,忠孝東路五段215巷口,00:05:00,2023/2/11
2023/2/11 19:00,泰和里民活動中心,2023/2/11 19:00,吳興公車總站,00:02:09,2023/2/11
2023/2/11 11:00,捷運後山埤站(2號出口),2023/2/11 11:00,福德公園,00:03:05,2023/2/11
2023/2/11 18:00,捷運後山埤站(2號出口),2023/2/11 19:00,福德國小,00:03:33,2023/2/11
2023/2/11 08:00,捷運後山埤站(2號出口),2023/2/11 08:00,捷運松山站(4號出口),00:09:30,2023/2/11
2023/2/11 10:00,捷運後山埤站(2號出口),2023/2/11 10:00,捷運後山埤站(1號出口),00:23:19,2023/2/11
2023/2/11 11:00,捷運後山埤站(2號出口),2023/2/11 11:00,捷運昆陽站(1號出口),00:08:41,2023/2/11
2023/2/11 11:00,捷運後山埤站(2號出口),2023/2/11 12:00,捷運市政府站(3號出口),00:16:25,2023/2/11
2023/2/11 13:00,捷運後山埤站(2號出口),2023/2/11 13:00,松仁路95巷口,00:08:02,2023/2/11
2023/2/11 14:00,捷運後山埤站(2號出口),2023/2/11 14:00,玉成公園(成福路178巷口),00:09:05,2023/2/11
2023/2/11 14:00,捷運後山埤站(2號出口),2023/2/11 14:00,松山車站,00:05:40,2023/2/11
2023/2/11 15:00,捷運後山埤站(2號出口),2023/2/11 15:00,福德國小,00:05:48,2023/2/11
2023/2/11 18:00,捷運後山埤站(2號出口),2023/2/11 18:00,福德公園,00:18:13,2023/2/11
2023/2/11 18:00,捷運後山埤站(2號出口),2023/2/11 18:00,福德國小,00:05:48,2023/2/11
2023/2/11 18:00,捷運後山埤站(2號出口),2023/2/11 18:00,捷運昆陽站(1號出口),00:37:32,2023/2/11
2023/2/11 18:00,捷運後山埤站(2號出口),2023/2/11 19:00,新湖二路250巷口,00:19:44,2023/2/11
2023/2/11 19:00,捷運後山埤站(2號出口),2023/2/11 19:00,合樂公園,00:06:08,2023/2/11
2023/2/11 19:00,捷運後山埤站(2號出口),2023/2/11 19:00,福德國小,00:16:52,2023/2/11
2023/2/11 08:00,虎林永吉路口,2023/2/11 08:00,松山車站,00:03:00,2023/2/11
2023/2/11 08:00,虎林永吉路口,2023/2/11 08:00,虎林永吉路口,00:08:09,2023/2/11
2023/2/11 11:00,虎林永吉路口,2023/2/11 11:00,捷運國父紀念館站(2號出口),00:23:45,2023/2/11
2023/2/11 20:00,虎林永吉路口,2023/2/11 21:00,興雅松仁路口,00:08:04,2023/2/11
2023/2/11 11:00,永吉公園,2023/2/11 11:00,林口公園,00:06:46,2023/2/11
2023/2/11 11:00,永吉公園,2023/2/11 11:00,基隆忠孝路口西南側,00:06:56,2023/2/11
2023/2/11 12:00,永吉公園,2023/2/11 12:00,松山車站,00:06:32,2023/2/11
2023/2/11 14:00,永吉公園,2023/2/11 15:00,虎林永吉路口,01:31:29,2023/2/11
2023/2/11 18:00,永吉公園,2023/2/11 18:00,捷運信義安和站(1號出口),00:29:52,2023/2/11
2023/2/11 22:00,永吉公園,2023/2/11 22:00,南港公園(福德街),00:09:03,2023/2/11
2023/2/11 04:00,永吉路321巷口,2023/2/11 05:00,瑞光港墘路口,00:35:41,2023/2/11
2023/2/11 16:00,永吉路321巷口,2023/2/11 16:00,八德中坡路口,00:06:03,2023/2/11
2023/2/11 21:00,永吉路321巷口,2023/2/11 22:00,松山車站,00:04:43,2023/2/11
2023/2/11 16:00,松山永吉路口,2023/2/11 16:00,捷運永春站(2號出口),00:07:42,2023/2/11
2023/2/11 16:00,松山永吉路口,2023/2/11 18:00,捷運市政府站(3號出口),02:02:21,2023/2/11
2023/2/11 10:00,松山永吉路口,2023/2/11 10:00,松仁路121巷口,00:10:44,2023/2/11
2023/2/11 15:00,松山永吉路口,2023/2/11 15:00,捷運後山埤站(2號出口),00:08:56,2023/2/11
2023/2/11 16:00,松山永吉路口,2023/2/11 18:00,捷運市政府站(3號出口),02:05:24,2023/2/11
2023/2/11 21:00,松山永吉路口,2023/2/11 21:00,松德站,00:12:43,2023/2/11
2023/2/11 10:00,松山路292巷口,2023/2/11 10:00,捷運松山站(4號出口),00:08:41,2023/2/11
2023/2/11 18:00,松山路292巷口,2023/2/11 18:00,松仁路95巷口,00:09:25,2023/2/11
2023/2/11 23:00,松山路292巷口,2023/2/11 23:00,松山車站,00:04:29,2023/2/11
2023/2/11 07:00,捷運象山站(3號出口),2023/2/11 07:00,松德站,00:05:44,2023/2/11
2023/2/11 07:00,捷運象山站(3號出口),2023/2/11 07:00,松德站,00:10:22,2023/2/11
2023/2/11 08:00,捷運象山站(3號出口),2023/2/11 08:00,安強公園,00:05:40,2023/2/11
2023/2/11 11:00,捷運象山站(3號出口),2023/2/11 11:00,松德站,00:03:22,2023/2/11
2023/2/11 12:00,捷運象山站(3號出口),2023/2/11 13:00,捷運市政府站(3號出口),00:12:10,2023/2/11
2023/2/11 14:00,捷運象山站(3號出口),2023/2/11 14:00,象山公園,00:13:24,2023/2/11
2023/2/11 16:00,捷運象山站(3號出口),2023/2/11 16:00,基隆光復路口,00:10:28,2023/2/11
2023/2/11 17:00,捷運象山站(3號出口),2023/2/11 18:00,景新公園,00:10:27,2023/2/11
2023/2/11 18:00,捷運象山站(3號出口),2023/2/11 18:00,松山家商(林口街),00:08:48,2023/2/11
2023/2/11 18:00,捷運象山站(3號出口),2023/2/11 18:00,松仁路253巷3弄,00:08:29,2023/2/11
2023/2/11 18:00,捷運象山站(3號出口),2023/2/11 18:00,興雅松仁路口,00:18:01,2023/2/11
2023/2/11 19:00,捷運象山站(3號出口),2023/2/11 19:00,松山家商(林口街),00:05:36,2023/2/11
2023/2/11 19:00,捷運象山站(3號出口),2023/2/11 19:00,松友公園,00:05:25,2023/2/11
2023/2/11 19:00,捷運象山站(3號出口),2023/2/11 19:00,松山家商(林口街),00:08:19,2023/2/11
2023/2/11 19:00,捷運象山站(3號出口),2023/2/11 20:00,松友公園,00:33:07,2023/2/11
2023/2/11 20:00,世貿三館,2023/2/11 20:00,仁愛國中,00:43:02,2023/2/11
2023/2/11 08:00,世貿三館,2023/2/11 08:00,仁愛安和路口,00:09:49,2023/2/11
2023/2/11 09:00,世貿三館,2023/2/11 09:00,吳興街260巷,00:10:09,2023/2/11
2023/2/11 15:00,世貿三館,2023/2/11 15:00,捷運忠孝敦化站(2號出口),00:13:56,2023/2/11
2023/2/11 15:00,世貿三館,2023/2/11 16:00,臺北醫學大學,00:09:07,2023/2/11
2023/2/11 19:00,世貿三館,2023/2/11 20:00,臺灣科技大學側門,00:22:28,2023/2/11
2023/2/11 20:00,世貿三館,2023/2/11 20:00,仁愛國中,00:44:03,2023/2/11
2023/2/11 20:00,世貿三館,2023/2/11 21:00,喬治工商,00:59:45,2023/2/11
2023/2/11 21:00,世貿三館,2023/2/11 22:00,興雅松仁路口,00:10:53,2023/2/11
2023/2/11 08:00,松德虎林街口,2023/2/11 08:00,吳興街260巷,00:11:41,2023/2/11
2023/2/11 10:00,松德虎林街口,2023/2/11 10:00,松仁路95巷口,00:06:47,2023/2/11
2023/2/11 11:00,松德虎林街口,2023/2/11 11:00,捷運信義安和站(1號出口),00:17:32,2023/2/11
2023/2/11 13:00,松德虎林街口,2023/2/11 14:00,松德虎林街口,00:35:06,2023/2/11
2023/2/11 15:00,松德虎林街口,2023/2/11 16:00,市府松高路口,00:17:23,2023/2/11
2023/2/11 16:00,松德虎林街口,2023/2/11 19:00,松德虎林街口,02:47:57,2023/2/11
2023/2/11 21:00,松德虎林街口,2023/2/11 21:00,信義松德路口,00:04:16,2023/2/11
2023/2/11 04:00,富台公園,2023/2/11 05:00,雅祥公園(松信路50巷口),00:03:15,2023/2/11
2023/2/11 09:00,富台公園,2023/2/11 09:00,松仁路95巷口,00:05:23,2023/2/11
2023/2/11 11:00,富台公園,2023/2/11 12:00,捷運松山站(3號出口),00:08:44,2023/2/11
2023/2/11 12:00,富台公園,2023/2/11 12:00,基隆忠孝路口西南側,00:08:36,2023/2/11
2023/2/11 14:00,富台公園,2023/2/11 14:00,春光公園,00:04:08,2023/2/11
2023/2/11 16:00,富台公園,2023/2/11 17:00,富台公園,00:37:20,2023/2/11
2023/2/11 20:00,富台公園,2023/2/11 21:00,信義廣場(台北101),00:23:00,2023/2/11
2023/2/11 20:00,富台公園,2023/2/11 21:00,黎忠區民活動中心,00:27:11,2023/2/11
